,Name,AHA ID,Hospital ID,Cancer Ranking,Cancer Ranking Tied?,Cancer Ranking Revoked?,Cancer Ranking Specialty ID,Cancer Ranking PrettyPrinter,Cancer Care Score,Updated
213,Billings Clinic,6810020,6810020,,,,IHQCANC,adult,37.9/100,2023-01-04 19:41:01.724154
214,Memorial Regional Hospital,6390295,6390295,,,,IHQCANC,adult,37.8/100,2023-01-04 19:41:01.724154
215,Methodist Dallas Medical Center,6741018,6741018,,,,IHQCANC,adult,37.8/100,2023-01-04 19:41:01.724154
216,Penn Medicine Princeton Medical Center,6221190,6221190,,,,IHQCANC,adult,37.8/100,2023-01-04 19:41:01.724154
217,St. David's South Austin Medical Center,6740095,6740095,,,,IHQCANC,adult,37.8/100,2023-01-04 19:41:01.724154
218,Banner Estrella Medical Center,6860036,6860036,,,,IHQCANC,adult,37.7/100,2023-01-04 19:41:01.724154
219,Swedish Medical Center,6840530,6840530,,,,IHQCANC,adult,37.7/100,2023-01-04 19:41:01.724154
220,Texas Health Harris Methodist Hospital Southwest,6741445,6741445,,,,IHQCANC,adult,37.7/100,2023-01-04 19:41:01.724154
221,Advocate Condell Medical Center,6432080,6432080,,,,IHQCANC,adult,37.5/100,2023-01-04 19:41:01.724154
222,Geisinger Wyoming Valley Medical Center,6232725,6232725,,,,IHQCANC,adult,37.5/100,2023-01-04 19:41:01.724154
223,Jewish Hospital-Mercy Health,6419060,6419060,,,,IHQCANC,adult,37.5/100,2023-01-04 19:41:01.724154
224,Chesapeake Regional Medical Center,6340145,6340145,,,,IHQCANC,adult,37.4/100,2023-01-04 19:41:01.724154
225,Baylor Scott and White All Saints Medical Center-Fort Worth,6741390,6741390,,,,IHQCANC,adult,37.3/100,2023-01-04 19:41:01.724154
226,Medical City Plano,6742865,6742865,,,,IHQCANC,adult,37.3/100,2023-01-04 19:41:01.724154
227,New York-Presbyterian Brooklyn Methodist Hospital,6210555,6210555,,,,IHQCANC,adult,37.3/100,2023-01-04 19:41:01.724154
228,WellStar Kennestone Hospital,6380775,6380775,,,,IHQCANC,adult,37.3/100,2023-01-04 19:41:01.724154
229,Main Line Health Lankenau Medical Center,6231970,6231970,,,,IHQCANC,adult,37.2/100,2023-01-04 19:41:01.724154
230,Northside Hospital Cherokee,6380382,6380382,,,,IHQCANC,adult,37.1/100,2023-01-04 19:41:01.724154
231,Salem Hospital,6920708,6920708,,,,IHQCANC,adult,37.1/100,2023-01-04 19:41:01.724154
232,Advocate Good Samaritan Hospital,6431475,6431475,,,,IHQCANC,adult,36.9/100,2023-01-04 19:41:01.724154
233,Cleveland Clinic Fairview Hospital,6410710,6410710,,,,IHQCANC,adult,36.9/100,2023-01-04 19:41:01.724154
234,Inova Alexandria Hospital,6340020,6340020,,,,IHQCANC,adult,36.9/100,2023-01-04 19:41:01.724154
235,Spectrum Health-Butterworth and Blodgett Campuses,6440021,6440021,,,,IHQCANC,adult,36.9/100,2023-01-04 19:41:01.724154
236,St. Peter's Hospital-Albany,6210070,6210070,,,,IHQCANC,adult,36.9/100,2023-01-04 19:41:01.724154
237,Trinity Health Ann Arbor Hospital,6440087,6440087,,,,IHQCANC,adult,36.9/100,2023-01-04 19:41:01.724154
238,Trinity Health Grand Rapids Hospital,6441210,6441210,,,,IHQCANC,adult,36.9/100,2023-01-04 19:41:01.724154
239,Beaumont Hospital-Troy,6442463,6442463,,,,IHQCANC,adult,36.8/100,2023-01-04 19:41:01.724154
240,Bridgeport Hospital,6160002,6160002,,,,IHQCANC,adult,36.8/100,2023-01-04 19:41:01.724154
241,Sanford USD Medical Center,6650007,6650007,,,,IHQCANC,adult,36.8/100,2023-01-04 19:41:01.724154
242,OhioHealth Grant Medical Center,6411010,6411010,,,,IHQCANC,adult,36.7/100,2023-01-04 19:41:01.724154
243,St. Luke's Hospital-Chesterfield,6630075,6630075,,,,IHQCANC,adult,36.7/100,2023-01-04 19:41:01.724154
244,Texas Health Presbyterian Hospital Plano,6740945,6740945,,,,IHQCANC,adult,36.7/100,2023-01-04 19:41:01.724154
245,Overlook Medical Center,6221370,6221370,,,,IHQCANC,adult,36.6/100,2023-01-04 19:41:01.724154
246,Sinai Hospital of Baltimore,6320280,6320280,,,,IHQCANC,adult,36.6/100,2023-01-04 19:41:01.724154
247,Virtua Voorhees Hospital,6221600,6221600,,,,IHQCANC,adult,36.6/100,2023-01-04 19:41:01.724154
248,Albany Medical Center,6210030,6210030,,,,IHQCANC,adult,36.5/100,2023-01-04 19:41:01.724154
249,Good Samaritan University Hospital,6215295,6215295,,,,IHQCANC,adult,36.5/100,2023-01-04 19:41:01.724154
250,Elmhurst Hospital,6431620,6431620,,,,IHQCANC,adult,36.4/100,2023-01-04 19:41:01.724154
251,UCHealth Medical Center of the Rockies,6840033,6840033,,,,IHQCANC,adult,36.4/100,2023-01-04 19:41:01.724154
252,University Hospital-Augusta,6380270,6380270,,,,IHQCANC,adult,36.4/100,2023-01-04 19:41:01.724154
253,Baptist Health Floyd,6421045,6421045,,,,IHQCANC,adult,36.2/100,2023-01-04 19:41:01.724154
254,Christian Hospital,6630185,6630185,,,,IHQCANC,adult,36.2/100,2023-01-04 19:41:01.724154
255,John H. Stroger Jr. Hospital of Cook County,6430600,6430600,,,,IHQCANC,adult,36.2/100,2023-01-04 19:41:01.724154
256,Ascension St. John Hospital,6440805,6440805,,,,IHQCANC,adult,36.1/100,2023-01-04 19:41:01.724154
257,Community Hospital of the Monterey Peninsula,6930385,6930385,,,,IHQCANC,adult,36.1/100,2023-01-04 19:41:01.724154
258,Grady Memorial Hospital,6380130,6380130,,,,IHQCANC,adult,36.1/100,2023-01-04 19:41:01.724154
259,Huntington Hospital at Northwell Health,6211880,6211880,,,,IHQCANC,adult,36.1/100,2023-01-04 19:41:01.724154
260,OhioHealth Riverside Methodist Hospital,6411110,6411110,,,,IHQCANC,adult,36.1/100,2023-01-04 19:41:01.724154
261,PIH Health Good Samaritan Hospital,6931540,6931540,,,,IHQCANC,adult,36.1/100,2023-01-04 19:41:01.724154
262,TidalHealth Peninsula Regional Hospital,6320785,6320785,,,,IHQCANC,adult,36.0/100,2023-01-04 19:41:01.724154
263,Prisma Health Greenville Memorial Hospital,6370323,6370323,,,,IHQCANC,adult,35.9/100,2023-01-04 19:41:01.724154
264,Providence St. Vincent Medical Center,6920540,6920540,,,,IHQCANC,adult,35.9/100,2023-01-04 19:41:01.724154
265,Renown Regional Medical Center,6880130,6880130,,,,IHQCANC,adult,35.9/100,2023-01-04 19:41:01.724154
266,St. Joseph's University Medical Center,6221120,6221120,,,,IHQCANC,adult,35.9/100,2023-01-04 19:41:01.724154
267,Ascension Seton Medical Center Austin,6740200,6740200,,,,IHQCANC,adult,35.8/100,2023-01-04 19:41:01.724154
268,Mount Carmel St. Ann's Hospital,6411060,6411060,,,,IHQCANC,adult,35.8/100,2023-01-04 19:41:01.724154
269,Swedish Hospital,6431180,6431180,,,,IHQCANC,adult,35.8/100,2023-01-04 19:41:01.724154
270,Tulane Health System-New Orleans,6720032,6720032,,,,IHQCANC,adult,35.8/100,2023-01-04 19:41:01.724154
271,Ascension Providence Rochester Hospital,6442198,6442198,,,,IHQCANC,adult,35.7/100,2023-01-04 19:41:01.724154
272,Holy Name Medical Center,6221390,6221390,,,,IHQCANC,adult,35.7/100,2023-01-04 19:41:01.724154
273,UCHealth Memorial Hospital,6840190,6840190,,,,IHQCANC,adult,35.6/100,2023-01-04 19:41:01.724154
274,Littleton Adventist Hospital,6840805,6840805,,,,IHQCANC,adult,35.5/100,2023-01-04 19:41:01.724154
275,UPMC Western Maryland,6320206,6320206,,,,IHQCANC,adult,35.5/100,2023-01-04 19:41:01.724154
276,Geisinger Medical Center,6230550,6230550,,,,IHQCANC,adult,35.4/100,2023-01-04 19:41:01.724154
277,Houston Methodist Sugar Land Hospital,6740138,6740138,,,,IHQCANC,adult,35.3/100,2023-01-04 19:41:01.724154
278,Mount Sinai South Nassau Hospital,6213735,6213735,,,,IHQCANC,adult,35.3/100,2023-01-04 19:41:01.724154
279,Northwest Community Hospital,6432485,6432485,,,,IHQCANC,adult,35.3/100,2023-01-04 19:41:01.724154
280,Sharp Grossmont Hospital,6930887,6930887,,,,IHQCANC,adult,35.3/100,2023-01-04 19:41:01.724154
281,UPMC Hamot,6230760,6230760,,,,IHQCANC,adult,35.3/100,2023-01-04 19:41:01.724154
282,Vassar Brothers Medical Center,6214140,6214140,,,,IHQCANC,adult,35.3/100,2023-01-04 19:41:01.724154
283,Ascension Macomb-Oakland Hospital-Warren Campus,6440489,6440489,,,,IHQCANC,adult,35.2/100,2023-01-04 19:41:01.724154
284,Intermountain Medical Center,6870141,6870141,,,,IHQCANC,adult,35.2/100,2023-01-04 19:41:01.724154
285,Mayo Clinic Eau Claire,6450310,6450310,,,,IHQCANC,adult,35.2/100,2023-01-04 19:41:01.724154
286,Medical Center of Aurora,6840014,6840014,,,,IHQCANC,adult,35.2/100,2023-01-04 19:41:01.724154
287,Monmouth Medical Center-Long Branch Campus,6220560,6220560,,,,IHQCANC,adult,35.2/100,2023-01-04 19:41:01.724154
288,South Shore University Hospital at Northwell Health,6210280,6210280,,,,IHQCANC,adult,35.2/100,2023-01-04 19:41:01.724154
289,Sparks Regional Medical Center,6710220,6710220,,,,IHQCANC,adult,35.2/100,2023-01-04 19:41:01.724154
290,UPMC Harrisburg,6230039,6230039,,,,IHQCANC,adult,35.1/100,2023-01-04 19:41:01.724154
291,Huntington Hospital,6932350,6932350,,,,IHQCANC,adult,35.0/100,2023-01-04 19:41:01.724154
292,Methodist Hospital of Southern California,6931630,6931630,,,,IHQCANC,adult,35.0/100,2023-01-04 19:41:01.724154
293,Methodist Hospital-San Antonio,6743122,6743122,,,,IHQCANC,adult,35.0/100,2023-01-04 19:41:01.724154
294,University of Cincinnati Medical Center,6410435,6410435,,,,IHQCANC,adult,35.0/100,2023-01-04 19:41:01.724154
295,Valley Hospital,6221235,6221235,,,,IHQCANC,adult,35.0/100,2023-01-04 19:41:01.724154
296,Englewood Hospital,6220280,6220280,,,,IHQCANC,adult,34.9/100,2023-01-04 19:41:01.724154
297,Parkview Regional Medical Center,6429153,6429153,,,,IHQCANC,adult,34.9/100,2023-01-04 19:41:01.724154
298,Santa Barbara Cottage Hospital,6933375,6933375,,,,IHQCANC,adult,34.9/100,2023-01-04 19:41:01.724154
299,Ascension St. Vincent Hospital,6420715,6420715,,,,IHQCANC,adult,34.8/100,2023-01-04 19:41:01.724154
300,Bethesda North Hospital,6410382,6410382,,,,IHQCANC,adult,34.8/100,2023-01-04 19:41:01.724154
301,Johns Hopkins Medicine-Sibley Memorial Hospital,6330210,6330210,,,,IHQCANC,adult,34.8/100,2023-01-04 19:41:01.724154
302,Saratoga Hospital,6214520,6214520,,,,IHQCANC,adult,34.8/100,2023-01-04 19:41:01.724154
303,St. David's Medical Center,6740190,6740190,,,,IHQCANC,adult,34.8/100,2023-01-04 19:41:01.724154
304,St. Joseph's Hospital and Medical Center,6860280,6860280,,,,IHQCANC,adult,34.8/100,2023-01-04 19:41:01.724154
305,Memorial Hermann Memorial City Medical Center,6741970,6741970,,,,IHQCANC,adult,34.6/100,2023-01-04 19:41:01.724154
306,UCHealth Poudre Valley Hospital,6840018,6840018,,,,IHQCANC,adult,34.6/100,2023-01-04 19:41:01.724154
307,Johns Hopkins Medicine-Suburban Hospital,6320350,6320350,,,,IHQCANC,adult,34.5/100,2023-01-04 19:41:01.724154
308,Baystate Medical Center,6141955,6141955,,,,IHQCANC,adult,34.4/100,2023-01-04 19:41:01.724154
309,Ocean University Medical Center at Hackensack Meridian Health,6221170,6221170,,,,IHQCANC,adult,34.4/100,2023-01-04 19:41:01.724154
310,Willis-Knighton Medical Center,6720877,6720877,,,,IHQCANC,adult,34.4/100,2023-01-04 19:41:01.724154
311,Bronson Methodist Hospital,6441550,6441550,,,,IHQCANC,adult,34.3/100,2023-01-04 19:41:01.724154
312,Carilion Roanoke Memorial Hospital,6341040,6341040,,,,IHQCANC,adult,34.3/100,2023-01-04 19:41:01.724154
313,Kaiser Permanente Moanalua Medical Center,6950330,6950330,,,,IHQCANC,adult,34.3/100,2023-01-04 19:41:01.724154
314,Los Alamitos Medical Center,693139A,693139A,,,,IHQCANC,adult,34.3/100,2023-01-04 19:41:01.724154
315,Main Line Health Bryn Mawr Hospital,6230260,6230260,,,,IHQCANC,adult,34.3/100,2023-01-04 19:41:01.724154
316,Banner Desert Medical Center,6860016,6860016,,,,IHQCANC,adult,34.2/100,2023-01-04 19:41:01.724154
317,Jackson Memorial Hospital,6390573,6390573,,,,IHQCANC,adult,34.1/100,2023-01-04 19:41:01.724154
318,St. Joseph's Hospital-Tampa,6390053,6390053,,,,IHQCANC,adult,34.1/100,2023-01-04 19:41:01.724154
319,University of Maryland Baltimore Washington Medical Center,6320569,6320569,,,,IHQCANC,adult,34.1/100,2023-01-04 19:41:01.724154
320,Christus Southeast Texas Hospital-St. Elizabeth,6740258,6740258,,,,IHQCANC,adult,33.9/100,2023-01-04 19:41:01.724154
321,East Jefferson General Hospital,6720418,6720418,,,,IHQCANC,adult,33.9/100,2023-01-04 19:41:01.724154
322,St. Mary's Regional Medical Center-Reno,6880110,6880110,,,,IHQCANC,adult,33.9/100,2023-01-04 19:41:01.724154
323,Legacy Good Samaritan Medical Center,6920418,6920418,,,,IHQCANC,adult,33.8/100,2023-01-04 19:41:01.724154
324,Moses H. Cone Memorial Hospital,6360002,6360002,,,,IHQCANC,adult,33.8/100,2023-01-04 19:41:01.724154
325,Overlake Medical Center and Clinics,6910060,6910060,,,,IHQCANC,adult,33.8/100,2023-01-04 19:41:01.724154
326,Baptist Medical Center Jacksonville,6390308,6390308,,,,IHQCANC,adult,33.7/100,2023-01-04 19:41:01.724154
327,Kaiser Permanente Anaheim and Irvine Medical Centers,6930075,6930075,,,,IHQCANC,adult,33.7/100,2023-01-04 19:41:01.724154
328,Northern Westchester Hospital at Northwell Health,6212500,6212500,,,,IHQCANC,adult,33.7/100,2023-01-04 19:41:01.724154
329,South Shore Hospital-South Weymouth,6141900,6141900,,,,IHQCANC,adult,33.7/100,2023-01-04 19:41:01.724154
330,Texas Health Harris Methodist Hospital Fort Worth,6741440,6741440,,,,IHQCANC,adult,33.7/100,2023-01-04 19:41:01.724154
331,Mount Sinai Medical Center,6390640,6390640,,,,IHQCANC,adult,33.6/100,2023-01-04 19:41:01.724154
332,Northwestern Medicine Palos Hospital,6431060,6431060,,,,IHQCANC,adult,33.6/100,2023-01-04 19:41:01.724154
333,Scripps Memorial Hospital-Encinitas,6930648,6930648,,,,IHQCANC,adult,33.6/100,2023-01-04 19:41:01.724154
334,Doctors Hospital at Renaissance,6740232,6740232,,,,IHQCANC,adult,33.5/100,2023-01-04 19:41:01.724154
335,MemorialCare Saddleback Medical Center,6930272,6930272,,,,IHQCANC,adult,33.5/100,2023-01-04 19:41:01.724154
336,Mercy Health-Fairfield Hospital,6410855,6410855,,,,IHQCANC,adult,33.5/100,2023-01-04 19:41:01.724154
337,New York-Presbyterian Queens Hospital,6211595,6211595,,,,IHQCANC,adult,33.5/100,2023-01-04 19:41:01.724154
338,Our Lady of the Lake Regional Medical Center,6720028,6720028,,,,IHQCANC,adult,33.5/100,2023-01-04 19:41:01.724154
339,St. Luke's Regional Medical Center,6820050,6820050,,,,IHQCANC,adult,33.5/100,2023-01-04 19:41:01.724154
340,St. Mary's Medical Center-Huntington,6350400,6350400,,,,IHQCANC,adult,33.5/100,2023-01-04 19:41:01.724154
341,MultiCare Tacoma General Hospital,6911018,6911018,,,,IHQCANC,adult,33.4/100,2023-01-04 19:41:01.724154
342,St. Alphonsus Regional Medical Center,6820040,6820040,,,,IHQCANC,adult,33.4/100,2023-01-04 19:41:01.724154
343,AdventHealth Hinsdale,6431920,6431920,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
344,Allegheny General Hospital,6230041,6230041,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
345,Ascension Alexian Brothers Hospital,6431613,6431613,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
346,Christus Mother Frances Hospital-Tyler,6743570,6743570,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
347,Lahey Hospital and Medical Center,6140690,6140690,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
348,Menorah Medical Center,6670020,6670020,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
349,Mercy San Juan Medical Center,6930037,6930037,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
350,Summa Health-Akron Campus,6410012,6410012,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
351,Virginia Mason Franciscan Health-St. Joseph Medical Center,6911060,6911060,,,,IHQCANC,adult,33.3/100,2023-01-04 19:41:01.724154
352,Indiana University Health Arnett Hospital,6420076,6420076,,,,IHQCANC,adult,33.2/100,2023-01-04 19:41:01.724154
353,JFK University Medical Center at Hackensack Meridian Health,6220247,6220247,,,,IHQCANC,adult,33.2/100,2023-01-04 19:41:01.724154
354,Legacy Meridian Park Medical Center,6920805,6920805,,,,IHQCANC,adult,33.2/100,2023-01-04 19:41:01.724154
355,Sarasota Memorial Hospital,6390052,6390052,,,,IHQCANC,adult,33.2/100,2023-01-04 19:41:01.724154
356,The University of Tennessee Medical Center,6520575,6520575,,,,IHQCANC,adult,33.2/100,2023-01-04 19:41:01.724154
357,University of Maryland St. Joseph Medical Center,6320260,6320260,,,,IHQCANC,adult,33.2/100,2023-01-04 19:41:01.724154
358,Mississippi Baptist Medical Center,6540007,6540007,,,,IHQCANC,adult,33.1/100,2023-01-04 19:41:01.724154
359,Danbury Hospital,6160100,6160100,,,,IHQCANC,adult,33.0/100,2023-01-04 19:41:01.724154
360,Mercy Hospital St. Louis,6631165,6631165,,,,IHQCANC,adult,33.0/100,2023-01-04 19:41:01.724154
361,MercyOne Des Moines Medical Center,6620003,6620003,,,,IHQCANC,adult,33.0/100,2023-01-04 19:41:01.724154
362,Banner Thunderbird Medical Center,6860013,6860013,,,,IHQCANC,adult,32.9/100,2023-01-04 19:41:01.724154
363,Bayhealth Kent General Hospital,6310007,6310007,,,,IHQCANC,adult,32.9/100,2023-01-04 19:41:01.724154
364,Lafayette General Medical Center,6720340,6720340,,,,IHQCANC,adult,32.9/100,2023-01-04 19:41:01.724154
365,Ochsner LSU Health Shreveport  Academic Medical Center,6720776,6720776,,,,IHQCANC,adult,32.9/100,2023-01-04 19:41:01.724154
366,Riverview Medical Center at Hackensack Meridian Health,6221220,6221220,,,,IHQCANC,adult,32.9/100,2023-01-04 19:41:01.724154
367,Winchester Medical Center,6341200,6341200,,,,IHQCANC,adult,32.9/100,2023-01-04 19:41:01.724154
368,Aurora West Allis Medical Center,6452165,6452165,,,,IHQCANC,adult,32.8/100,2023-01-04 19:41:01.724154
369,White Plains Hospital,6215330,6215330,,,,IHQCANC,adult,32.8/100,2023-01-04 19:41:01.724154
370,Chippenham and Johnston-Willis Hospitals,6340009,6340009,,,,IHQCANC,adult,32.7/100,2023-01-04 19:41:01.724154
371,Miami Valley Hospital,6411190,6411190,,,,IHQCANC,adult,32.7/100,2023-01-04 19:41:01.724154
372,Winchester Hospital,6142280,6142280,,,,IHQCANC,adult,32.7/100,2023-01-04 19:41:01.724154
373,Auxilio Mutuo Hospital,6040155,6040155,,,,IHQCANC,adult,32.6/100,2023-01-04 19:41:01.724154
374,Edward Cancer Center,6432350,6432350,,,,IHQCANC,adult,32.6/100,2023-01-04 19:41:01.724154
375,Kaiser Permanente Oakland and Richmond Medical Centers,6930067,6930067,,,,IHQCANC,adult,32.6/100,2023-01-04 19:41:01.724154
376,Texas Health Presbyterian Hospital Dallas,6741050,6741050,,,,IHQCANC,adult,32.6/100,2023-01-04 19:41:01.724154
377,Newark Beth Israel Medical Center,6220820,6220820,,,,IHQCANC,adult,32.5/100,2023-01-04 19:41:01.724154
378,Cooper University Health Care-Camden,6220190,6220190,,,,IHQCANC,adult,32.4/100,2023-01-04 19:41:01.724154
379,Enloe Medical Center,6930096,6930096,,,,IHQCANC,adult,32.4/100,2023-01-04 19:41:01.724154
380,Reading Hospital,6233443,6233443,,,,IHQCANC,adult,32.4/100,2023-01-04 19:41:01.724154
381,SSM Health St. Louis University Hospital,6631020,6631020,,,,IHQCANC,adult,32.4/100,2023-01-04 19:41:01.724154
382,Centra Lynchburg General Hospital,6340013,6340013,,,,IHQCANC,adult,32.3/100,2023-01-04 19:41:01.724154
383,Boone Hospital Center,6630130,6630130,,,,IHQCANC,adult,32.2/100,2023-01-04 19:41:01.724154
384,Halifax Health Medical Center of Daytona Beach,6390056,6390056,,,,IHQCANC,adult,32.2/100,2023-01-04 19:41:01.724154
385,HCA Houston Healthcare Clear Lake,6740149,6740149,,,,IHQCANC,adult,32.2/100,2023-01-04 19:41:01.724154
386,Orlando Health-Orlando Regional Medical Center,6390695,6390695,,,,IHQCANC,adult,32.2/100,2023-01-04 19:41:01.724154
387,WellSpan York Hospital,6233550,6233550,,,,IHQCANC,adult,32.2/100,2023-01-04 19:41:01.724154
388,Cape Coral Hospital,6390068,6390068,,,,IHQCANC,adult,32.1/100,2023-01-04 19:41:01.724154
389,Kaiser Permanente Riverside Medical Center,6932605,6932605,,,,IHQCANC,adult,32.1/100,2023-01-04 19:41:01.724154
390,Houston Methodist West Hospital,6740878,6740878,,,,IHQCANC,adult,32.0/100,2023-01-04 19:41:01.724154
391,Jefferson Hospital-Jefferson Hills,6230979,6230979,,,,IHQCANC,adult,32.0/100,2023-01-04 19:41:01.724154
392,St. Luke's Cornwall Hospital,6210037,6210037,,,,IHQCANC,adult,32.0/100,2023-01-04 19:41:01.724154
393,St. Peter's University Hospital,6220950,6220950,,,,IHQCANC,adult,32.0/100,2023-01-04 19:41:01.724154
394,Sanford Medical Center Bismarck,6640020,6640020,,,,IHQCANC,adult,31.9/100,2023-01-04 19:41:01.724154
395,Adventist Healthcare Shady Grove Medical Center,6320775,6320775,,,,IHQCANC,adult,31.8/100,2023-01-04 19:41:01.724154
396,Nebraska Methodist Hospital,6660710,6660710,,,,IHQCANC,adult,31.8/100,2023-01-04 19:41:01.724154
397,Norton Hospitals,6510488,6510488,,,,IHQCANC,adult,31.8/100,2023-01-04 19:41:01.724154
398,UnityPoint Health-Iowa Methodist Medical Center,6620420,6620420,,,,IHQCANC,adult,31.7/100,2023-01-04 19:41:01.724154
399,Jersey Shore University Medical Center at Hackensack Meridian Health,6220740,6220740,,,,IHQCANC,adult,31.6/100,2023-01-04 19:41:01.724154
400,Mercy General Hospital,6932670,6932670,,,,IHQCANC,adult,31.6/100,2023-01-04 19:41:01.724154
401,M Health Fairview Southdale Hospital,6610918,6610918,,,,IHQCANC,adult,31.6/100,2023-01-04 19:41:01.724154
402,Scripps Mercy Hospital,6932810,6932810,,,,IHQCANC,adult,31.6/100,2023-01-04 19:41:01.724154
403,St. Elizabeth Healthcare Edgewood-Covington Hospitals,6510110,6510110,,,,IHQCANC,adult,31.6/100,2023-01-04 19:41:01.724154
404,Cabell Huntington Hospital,6350345,6350345,,,,IHQCANC,adult,31.5/100,2023-01-04 19:41:01.724154
405,Creighton University Medical Center-Bergan Mercy,6660720,6660720,,,,IHQCANC,adult,31.5/100,2023-01-04 19:41:01.724154
406,Baylor Scott and White Medical Center-Plano,6740259,6740259,,,,IHQCANC,adult,31.4/100,2023-01-04 19:41:01.724154
407,CentraCare-St. Cloud Hospital,6611540,6611540,,,,IHQCANC,adult,31.4/100,2023-01-04 19:41:01.724154
408,Glens Falls Hospital,6211670,6211670,,,,IHQCANC,adult,31.4/100,2023-01-04 19:41:01.724154
409,North Kansas City Hospital,6630785,6630785,,,,IHQCANC,adult,31.4/100,2023-01-04 19:41:01.724154
410,Christ Hospital,6410430,6410430,,,,IHQCANC,adult,31.3/100,2023-01-04 19:41:01.724154
411,AdventHealth Tampa,6391103,6391103,,,,IHQCANC,adult,31.2/100,2023-01-04 19:41:01.724154
412,McLeod Regional Medical Center,6370009,6370009,,,,IHQCANC,adult,31.2/100,2023-01-04 19:41:01.724154
413,UPMC Magee-Womens Hospital,6232460,6232460,,,,IHQCANC,adult,31.2/100,2023-01-04 19:41:01.724154
414,Henry Ford Allegiance Health-Jackson,6441500,6441500,,,,IHQCANC,adult,31.1/100,2023-01-04 19:41:01.724154
415,Our Lady of Lourdes Regional Medical Center,6720343,6720343,,,,IHQCANC,adult,31.1/100,2023-01-04 19:41:01.724154
416,PIH Health Hospital-Whittier,6933885,6933885,,,,IHQCANC,adult,31.1/100,2023-01-04 19:41:01.724154
417,Baptist Health Lynn Cancer Institute at Boca Raton Regional Hospital,6390038,6390038,,,,IHQCANC,adult,31.0/100,2023-01-04 19:41:01.724154
418,Bon Secours Memorial Regional Medical Center,6340896,6340896,,,,IHQCANC,adult,31.0/100,2023-01-04 19:41:01.724154
419,University of Mississippi Medical Center,6540004,6540004,,,,IHQCANC,adult,31.0/100,2023-01-04 19:41:01.724154
420,FirstHealth Moore Regional Hospital,6361150,6361150,,,,IHQCANC,adult,30.9/100,2023-01-04 19:41:01.724154
421,St. David's North Austin Medical Center,6740093,6740093,,,,IHQCANC,adult,30.9/100,2023-01-04 19:41:01.724154
422,Ascension St. Vincent's Riverside Hospital,6390390,6390390,,,,IHQCANC,adult,30.8/100,2023-01-04 19:41:01.724154
423,Baptist Health Medical Center-Little Rock,6710335,6710335,,,,IHQCANC,adult,30.8/100,2023-01-04 19:41:01.724154
424,Baptist Health Lexington,6510407,6510407,,,,IHQCANC,adult,30.7/100,2023-01-04 19:41:01.724154
425,Gulf Coast Medical Center,6390323,6390323,,,,IHQCANC,adult,30.7/100,2023-01-04 19:41:01.724154
426,Mary Washington Hospital,6340290,6340290,,,,IHQCANC,adult,30.7/100,2023-01-04 19:41:01.724154
427,University of Vermont Medical Center,6130001,6130001,,,,IHQCANC,adult,30.7/100,2023-01-04 19:41:01.724154
428,AnMed Health Medical Center,6370030,6370030,,,,IHQCANC,adult,30.6/100,2023-01-04 19:41:01.724154
429,DMC Sinai-Grace Hospital,6440630,6440630,,,,IHQCANC,adult,30.6/100,2023-01-04 19:41:01.724154
430,Kaiser Permanente Los Angeles Medical Center,6930051,6930051,,,,IHQCANC,adult,30.6/100,2023-01-04 19:41:01.724154
431,Rapides Regional Medical Center,6720020,6720020,,,,IHQCANC,adult,30.6/100,2023-01-04 19:41:01.724154
432,Wilmot Cancer Institute,6214330,6214330,,,,IHQCANC,adult,30.6/100,2023-01-04 19:41:01.724154
433,Providence Sacred Heart Medical Center and Children's Hospital,6910980,6910980,,,,IHQCANC,adult,30.5/100,2023-01-04 19:41:01.724154
434,Amita Health St. Joseph Medical Center Joliet,6431990,6431990,,,,IHQCANC,adult,30.4/100,2023-01-04 19:41:01.724154
435,Bon Secours St. Mary's Hospital,6340921,6340921,,,,IHQCANC,adult,30.4/100,2023-01-04 19:41:01.724154
436,Morton Plant Hospital,6390090,6390090,,,,IHQCANC,adult,30.4/100,2023-01-04 19:41:01.724154
437,Santa Clara Valley Medical Center,6933240,6933240,,,,IHQCANC,adult,30.4/100,2023-01-04 19:41:01.724154
438,El Camino Health-Mountain View,6931392,6931392,,,,IHQCANC,adult,30.3/100,2023-01-04 19:41:01.724154
439,Regions Hospital,6611570,6611570,,,,IHQCANC,adult,30.3/100,2023-01-04 19:41:01.724154
440,RMC Anniston,6530070,6530070,,,,IHQCANC,adult,30.3/100,2023-01-04 19:41:01.724154
441,Sentara RMH Medical Center,6340340,6340340,,,,IHQCANC,adult,30.3/100,2023-01-04 19:41:01.724154
442,SSM Health DePaul Hospital-St. Louis,6630985,6630985,,,,IHQCANC,adult,30.3/100,2023-01-04 19:41:01.724154
